---- Inicio de log ----
 - Fecha: 2017-12-30 11:48:28

 - Fecha: 2017-12-30 11:48:28

 - Fecha: 2017-12-30 11:49:28

 - Fecha: 2017-12-30 11:50:16

 - Fecha: 2017-12-30 11:50:22

"oktravel2017" - Fecha: 2017-12-30 11:50:34

"oktravel2017" - Fecha: 2017-12-30 11:50:35

"Id" - Fecha: 2017-12-30 11:51:19

 - Fecha: 2017-12-30 11:53:33

 - Fecha: 2017-12-30 11:55:17

 - Fecha: 2017-12-30 11:55:55

 - Fecha: 2017-12-30 11:56:31

 - Fecha: 2017-12-30 11:57:10

 - Fecha: 2017-12-30 11:58:21

 - Fecha: 2017-12-30 11:59:57

 - Fecha: 2017-12-30 12:00:24

 - Fecha: 2017-12-30 12:00:39

 - Fecha: 2017-12-30 12:01:20

 - Fecha: 2017-12-30 12:02:30

 - Fecha: 2017-12-30 12:04:02

 - Fecha: 2017-12-30 12:04:49

 - Fecha: 2017-12-30 12:05:17

 - Fecha: 2017-12-30 12:05:28

 - Fecha: 2017-12-30 12:06:19

 - Fecha: 2017-12-30 12:06:39

 - Fecha: 2017-12-30 12:07:21

 - Fecha: 2017-12-30 12:07:48

 - Fecha: 2017-12-30 12:08:57

 - Fecha: 2017-12-30 12:09:50

 - Fecha: 2017-12-30 12:10:12

 - Fecha: 2017-12-30 12:11:38

 - Fecha: 2017-12-30 12:12:11

 - Fecha: 2017-12-30 12:12:31

 - Fecha: 2017-12-30 12:14:14

 - Fecha: 2017-12-30 12:15:27

 - Fecha: 2017-12-30 12:16:16

 - Fecha: 2017-12-30 12:17:12

 - Fecha: 2017-12-30 12:18:28

 - Fecha: 2017-12-30 12:19:06

 - Fecha: 2017-12-30 12:19:26

 - Fecha: 2017-12-30 12:23:12

 - Fecha: 2017-12-30 12:24:18

 - Fecha: 2017-12-30 12:25:02

 - Fecha: 2017-12-30 12:25:28

